problemName,customerCount,solver,vehicleFileID,cutoffTime,problemType,numUAVs,returncode
20170606T113038113409,25,Heuristic,101,5,2,1,0
20170606T113251786976,25,Heuristic,101,5,2,1,0
20170606T113339368121,25,Heuristic,101,5,2,1,0
20170606T113427164164,25,Heuristic,101,5,2,1,0
20170606T113515209066,25,Heuristic,101,5,2,1,0
20170606T113603010160,25,Heuristic,101,5,2,1,0
20170606T113651352937,25,Heuristic,101,5,2,1,0
20170606T123216270309,25,Heuristic,101,5,2,1,0
20170606T123231190878,25,Heuristic,101,5,2,1,0
20170606T123246328134,25,Heuristic,101,5,2,1,0
20170606T123301396863,25,Heuristic,101,5,2,1,0
20170606T123316638608,25,Heuristic,101,5,2,1,0
20170606T123331779163,25,Heuristic,101,5,2,1,0
20170606T123346836976,25,Heuristic,101,5,2,1,0
20170606T123411109972,25,Heuristic,101,5,2,1,0
20170606T123426160449,25,Heuristic,101,5,2,1,0
20170606T181516057642,25,Heuristic,101,5,2,1,0
20170606T181644949435,25,Heuristic,101,5,2,1,0
20170606T183158840946,25,Heuristic,101,5,2,1,0
20170607T111048231225,25,Heuristic,101,5,2,1,0
