problemName,customerCount,solver,reasonType,reason,returncode
20170606T115437348436,100,Heuristic,blocked_by_licence,"^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 588, in mfstsp_heuristic_1_partition
    [currentTSP, TSPobjVal] = getTSP(c, tmpTruckCustomers, node, vehicle, travel)
                              ~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 280, in getTSP
    [TSPobjVal, TSPassignments, TSPpackages, TSPtour] = solve_tsp_callback(newNode, vehicle, travel)
                                                        ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/solve_tsp_callback.py"", line 206, in solve_tsp_callback
    m.optimize(subtourelim)
    ~~~~~~~~~~^^^^^^^^^^^^^
  File ""src/gurobipy/_model.pyx"", line 923, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information",1
20170606T115823934453,100,Heuristic,blocked_by_licence,"^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 588, in mfstsp_heuristic_1_partition
    [currentTSP, TSPobjVal] = getTSP(c, tmpTruckCustomers, node, vehicle, travel)
                              ~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 280, in getTSP
    [TSPobjVal, TSPassignments, TSPpackages, TSPtour] = solve_tsp_callback(newNode, vehicle, travel)
                                                        ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/solve_tsp_callback.py"", line 206, in solve_tsp_callback
    m.optimize(subtourelim)
    ~~~~~~~~~~^^^^^^^^^^^^^
  File ""src/gurobipy/_model.pyx"", line 923, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information",1
20170606T120227545709,100,Heuristic,blocked_by_licence,"^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 588, in mfstsp_heuristic_1_partition
    [currentTSP, TSPobjVal] = getTSP(c, tmpTruckCustomers, node, vehicle, travel)
                              ~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 280, in getTSP
    [TSPobjVal, TSPassignments, TSPpackages, TSPtour] = solve_tsp_callback(newNode, vehicle, travel)
                                                        ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/solve_tsp_callback.py"", line 206, in solve_tsp_callback
    m.optimize(subtourelim)
    ~~~~~~~~~~^^^^^^^^^^^^^
  File ""src/gurobipy/_model.pyx"", line 923, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information",1
20170606T121241353494,100,Heuristic,blocked_by_licence,"^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 588, in mfstsp_heuristic_1_partition
    [currentTSP, TSPobjVal] = getTSP(c, tmpTruckCustomers, node, vehicle, travel)
                              ~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 280, in getTSP
    [TSPobjVal, TSPassignments, TSPpackages, TSPtour] = solve_tsp_callback(newNode, vehicle, travel)
                                                        ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/solve_tsp_callback.py"", line 206, in solve_tsp_callback
    m.optimize(subtourelim)
    ~~~~~~~~~~^^^^^^^^^^^^^
  File ""src/gurobipy/_model.pyx"", line 923, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information",1
20170606T121632081849,100,Heuristic,blocked_by_licence,"^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 588, in mfstsp_heuristic_1_partition
    [currentTSP, TSPobjVal] = getTSP(c, tmpTruckCustomers, node, vehicle, travel)
                              ~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 280, in getTSP
    [TSPobjVal, TSPassignments, TSPpackages, TSPtour] = solve_tsp_callback(newNode, vehicle, travel)
                                                        ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/solve_tsp_callback.py"", line 206, in solve_tsp_callback
    m.optimize(subtourelim)
    ~~~~~~~~~~^^^^^^^^^^^^^
  File ""src/gurobipy/_model.pyx"", line 923, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information",1
20170606T122019874088,100,Heuristic,blocked_by_licence,"^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 588, in mfstsp_heuristic_1_partition
    [currentTSP, TSPobjVal] = getTSP(c, tmpTruckCustomers, node, vehicle, travel)
                              ~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 280, in getTSP
    [TSPobjVal, TSPassignments, TSPpackages, TSPtour] = solve_tsp_callback(newNode, vehicle, travel)
                                                        ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/solve_tsp_callback.py"", line 206, in solve_tsp_callback
    m.optimize(subtourelim)
    ~~~~~~~~~~^^^^^^^^^^^^^
  File ""src/gurobipy/_model.pyx"", line 923, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information",1
20170606T122653532986,100,Heuristic,blocked_by_licence,"^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 588, in mfstsp_heuristic_1_partition
    [currentTSP, TSPobjVal] = getTSP(c, tmpTruckCustomers, node, vehicle, travel)
                              ~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 280, in getTSP
    [TSPobjVal, TSPassignments, TSPpackages, TSPtour] = solve_tsp_callback(newNode, vehicle, travel)
                                                        ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/solve_tsp_callback.py"", line 206, in solve_tsp_callback
    m.optimize(subtourelim)
    ~~~~~~~~~~^^^^^^^^^^^^^
  File ""src/gurobipy/_model.pyx"", line 923, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information",1
20170606T123954019627,100,Heuristic,blocked_by_licence,"^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 588, in mfstsp_heuristic_1_partition
    [currentTSP, TSPobjVal] = getTSP(c, tmpTruckCustomers, node, vehicle, travel)
                              ~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 280, in getTSP
    [TSPobjVal, TSPassignments, TSPpackages, TSPtour] = solve_tsp_callback(newNode, vehicle, travel)
                                                        ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/solve_tsp_callback.py"", line 206, in solve_tsp_callback
    m.optimize(subtourelim)
    ~~~~~~~~~~^^^^^^^^^^^^^
  File ""src/gurobipy/_model.pyx"", line 923, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information",1
20170606T124325384128,100,Heuristic,blocked_by_licence,"^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 588, in mfstsp_heuristic_1_partition
    [currentTSP, TSPobjVal] = getTSP(c, tmpTruckCustomers, node, vehicle, travel)
                              ~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 280, in getTSP
    [TSPobjVal, TSPassignments, TSPpackages, TSPtour] = solve_tsp_callback(newNode, vehicle, travel)
                                                        ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/solve_tsp_callback.py"", line 206, in solve_tsp_callback
    m.optimize(subtourelim)
    ~~~~~~~~~~^^^^^^^^^^^^^
  File ""src/gurobipy/_model.pyx"", line 923, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information",1
20170606T124502755142,100,Heuristic,blocked_by_licence,"^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 416, in mfstsp_heuristic_1_partition
    [TSPtour, TSPobjVal] = getTSP(c, tmpTruckCustomers, node, vehicle, travel)
                           ~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/mfstsp_heuristic_1_partition.py"", line 280, in getTSP
    [TSPobjVal, TSPassignments, TSPpackages, TSPtour] = solve_tsp_callback(newNode, vehicle, travel)
                                                        ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/omar/Documents/uni/ADFO/mFSTSP/solve_tsp_callback.py"", line 206, in solve_tsp_callback
    m.optimize(subtourelim)
    ~~~~~~~~~~^^^^^^^^^^^^^
  File ""src/gurobipy/_model.pyx"", line 923, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information",1
