problemName,customerCount,solver,vehicleFileID,cutoffTime,problemType,numUAVs,returncode
20170608T121632668184,10,Heuristic,101,5,2,1,0
20170608T121651164057,10,Heuristic,101,5,2,1,0
20170608T121710107640,10,Heuristic,101,5,2,1,0
20170608T121728978505,10,Heuristic,101,5,2,1,0
20170608T121747991951,10,Heuristic,101,5,2,1,0
20170608T121807019623,10,Heuristic,101,5,2,1,0
20170608T121825920767,10,Heuristic,101,5,2,1,0
20170608T121844810174,10,Heuristic,101,5,2,1,0
20170608T121903600571,10,Heuristic,101,5,2,1,0
20170608T121925358737,10,Heuristic,101,5,2,1,0
20170608T122024823843,10,Heuristic,101,5,2,1,0
20170608T122029847985,10,Heuristic,101,5,2,1,0
20170608T122034665363,10,Heuristic,101,5,2,1,0
20170608T122043762852,10,Heuristic,101,5,2,1,0
20170608T122048564577,10,Heuristic,101,5,2,1,0
20170608T122053358160,10,Heuristic,101,5,2,1,0
20170608T122058404415,10,Heuristic,101,5,2,1,0
20170608T122103536027,10,Heuristic,101,5,2,1,0
20170608T122108589505,10,Heuristic,101,5,2,1,0
20170608T131310834813,10,Heuristic,101,5,2,1,0
